CNT	Subject	Number of possession	Minimum	First quantile	Median	Third quantile	Maximum
Jordan	Maths	Two	131.8819	337.5993	384.91975	434.8107	679.475
Jordan	Maths	Three or more	173.5551	341.0266	394.5396	450.8568	694.1969
Jordan	Reading	None	70.5529	348.8649	410.0268	463.2456	657.0573
Jordan	Reading	One	68.949	343.2142	404.3872	459.4963	739.6655
Jordan	Reading	Two	4.0716	346.40195	406.8893	460.16015	634.1599
Jordan	Reading	Three or more	32.0595	340.8084	410.6578	473.4922	642.9186
Jordan	Science	None	132.1708	354.1029	407.0683	461.8985	681.3129
Jordan	Science	One	113.5211	354.1029	407.2548	460.4066	678.6087
Jordan	Science	Two	143.0809	358.7654	412.3368	460.4066	714.9758
Jordan	Science	Three or more	170.4028	356.5274	419.3771	479.0563	658.094
Japan	Maths	None	265.0802	463.3198	513.4834	575.8763	739.5311
Japan	Maths	One	199.26	475.04285	541.2136	604.697	851.0749
Japan	Maths	Two	294.602	469.9992	539.30515	604.83335	780.659
Japan	Maths	Three or more	257.6803	371.444175	420.0888	524.602725	763.6781
Japan	Reading	None	194.8544	463.506	510.7406	578.9861	710.5051
Japan	Reading	One	181.2213	477.78105	546.8865	607.6909	904.8026
Japan	Reading	Two	262.9395	476.832125	553.9654	603.02435	754.8527
Japan	Reading	Three or more	225.2481	366.00955	416.1912	518.053	706.1456
Japan	Science	None	252.7415	485.304	541.533	599.254	740.9922
Japan	Science	One	165.8336	489.2204	556.7326	616.132	879.0936
Japan	Science	Two	269.8993	484.0218	556.91905	613.101475	807.0123
Japan	Science	Three or more	256.285	375.94645	442.78255	490.665825	704.6251
Kazakhstan	Maths	None	176.9824	370.6263	410.7415	454.2842	693.8853
Kazakhstan	Maths	One	200.0389	395.7275	440.6138	489.433675	677.2161
